date,arrival,seasonality,hong kong casino,shows in macau,singapore to macau,macau airlines,macau on map,tiger airways,cathay pacific,show in macau,macau venetian,galaxy macau hotel,macau grand hotel,macau tauranga,casino in macau,mgm macau,macau ferry terminal,macau restaurant jamaica,macao,map of hong kong,macau food festival,cheap flights,hong kong to macau travel time,venetian hotel macau,macau nightlife,royal hotel,macau ferry schedule,cebu pacific,jetstar,thailand,flights to hong kong,macau food,macau hotel venetian,hotel in macau,flights to macau,hong kong macau ferry,weather in macau,macau restaurant menu,macau weather,wing on travel,china map,macaulay culkin,taboo show macau,dancing water show macau schedule,best food in macau,hotel macau,agoda,macau hotel,hongkong,asia travel,city of dreams macau,hong kong airport to macau,hong kong airport to macau ferry,dancing water macau,macau magic show,china,weather hong kong,macau portuguese restaurant,best food in hong kong,macau china weather,macau gaming lounge & bar,galaxy macau,hong kong ferry to macau,ferry terminal,hong kong light show,travel to macau,macau chinese restaurant,hk to macau ferry,casinos macau,macau tourism,macau shows,indian restaurant in macau,hong kong macau,bangkok,super show 4 macau,hong kong airport,restaurant in macau,macau food festival 2015,macau restaurants,best restaurant in macau,macau water show,china travel,macau travel guide,galaxy casino macau,openrice,hong kong shopping,hongkong weather,good food in macau,hong kong hotel,macau restaurant hong kong,hongkong macau,weather in macau in december,weather forecast,accommodation in macau,cheap flights to macau,venetian macau shopping,agoda macau,hong kong,macau currency,macau shopping festival,iifa awards 2013 full show,hong kong weather forecast,venetian,heart bar macau,galaxy,weather forecast in macau,halal food in hong kong,food in macau,banyan tree macau,macau cheap flights,venetian hotel,macau food blog,macau tourism board,hong kong travel,flights to macau from singapore,mgm,city of dreams,macau tour package,macau travel blog,macau gaming show,the house of dancing water,weather hk,hong kong disneyland,hong kong macau map,macau time,hong kong ferry,air asia,macau weather today,weather singapore,best hotel macau,sands casino,halal food in macau,macau show bar,lisboa casino,hotel lisboa macau,singapore,from hong kong to macau,venetian casino macau,shopping in hong kong,venetian macau casino,shopping in macau,macau food festival 2014,singapore airlines,hong kong tourism,venetian macau,macau shopping mall,macau shopping guide,ferry macau to hong kong airport,hk to macau,macau food guide,hong kong weather,casino lisboa macau,world map,hong kong to macau ferry,macau hotels,macau food festival 2017,air macau,macau things to do,google flights,hotel lisboa,macau china,google map,what to do in macau,wing on travel macau,macau food festival 2012,weather in hong kong,galaxy casino,hongkong tourism,hong kong to macau,wynn casino,macao restaurant,macau city,macau light show,map of macau,macau weather december,house of dancing water,macau airport,hongkong macau ferry,macau restaurant tauranga,ferry to macau,macau hk ferry,travel agency,wynn macau,macau food festival 2016,macau casino,macau island,restaurants in macau,macau ferry,ferry macau hong kong,macau ferry terminal hong kong,hongkong map,macau ferry from hong kong,macau ferry terminal map,ozone bar hong kong,galaxy hotel,iifa awards 2013 macau full show,macau galaxy,macau map,hotel in hong kong,weather forecast hong kong,macau world map,venetian casino,airasia,macau package,hong kong map,grand macau casino,hong kong ferry terminal,macau tower,bali,macau hong kong,macao casino,food festival macau,skyscanner,AGODA,macaulay culkin,Skyscanner,Country
2013-01,4632926,456961.4053,72,43,75,82,61,88,51,38,54,60,43,0,73,64,68,18,61,49,7,71,24,57,39,76,90,79,87,51,95,55,57,62,83,77,68,46,64,63,54,17,12,0,31,62,79,62,62,74,53,66,71,49,0,83,60,48,38,78,0,40,74,37,43,78,62,98,53,54,59,25,81,71,0,78,48,0,59,26,55,67,44,17,80,80,60,27,77,69,87,16,82,43,68,59,65,83,76,23,1,63,79,0,87,29,55,27,50,76,58,53,14,69,73,72,34,69,57,0,46,54,75,84,23,38,23,20,51,64,69,32,0,29,66,84,80,80,82,80,57,0,80,58,54,35,0,71,80,24,60,34,56,74,60,0,77,74,11,64,66,65,54,12,0,76,70,31,78,60,35,35,100,75,10,56,85,57,0,78,82,88,61,0,84,60,57,80,77,60,67,94,51,33,76,0,40,65,75,63,60,71,46,63,61,35,69,71,46,81,74,7,32,66100,2725,11710,HK
2013-02,4022120,-263588.2435,68,53,60,59,48,82,47,52,53,50,40,0,88,64,56,0,62,41,14,66,26,49,45,75,65,77,76,49,82,49,49,58,61,61,61,28,48,61,55,13,13,0,17,56,71,56,59,64,42,53,75,49,0,80,52,39,45,37,0,38,69,41,32,62,53,68,74,56,47,18,77,68,0,72,44,0,44,35,58,60,69,15,75,75,47,59,70,67,81,9,65,56,61,24,63,77,63,25,5,58,80,0,83,28,64,32,44,66,59,0,30,65,48,67,33,79,83,0,45,51,68,56,23,35,19,18,53,53,67,34,0,28,70,80,73,87,67,87,43,0,73,61,53,38,0,75,59,27,52,57,54,69,56,0,67,42,10,67,65,66,61,21,0,68,73,27,69,48,51,33,0,57,0,54,75,44,0,63,63,81,55,0,77,86,56,66,61,56,54,80,28,50,78,0,38,65,70,58,40,63,38,49,54,54,68,87,43,77,61,14,31,63110,2234,10960,HK
2013-03,4087286,-321216.6591,86,68,84,78,43,99,50,65,60,57,40,9,85,64,67,0,56,42,0,67,46,49,59,76,62,75,78,49,87,55,49,74,74,78,63,25,64,73,56,15,23,0,15,67,81,67,61,69,69,55,42,62,0,83,64,81,52,71,0,44,76,47,44,59,54,66,69,64,81,24,90,67,14,83,64,0,70,19,65,67,67,21,79,85,47,66,81,75,90,8,78,34,31,65,80,86,68,22,5,70,77,0,97,25,74,53,48,55,57,65,36,69,100,65,35,81,19,34,54,60,90,63,27,41,20,16,46,67,66,61,21,21,71,85,83,83,80,83,83,0,73,65,60,27,32,42,71,24,64,29,56,76,64,0,70,71,11,75,66,69,72,31,0,84,82,45,84,63,53,41,16,60,5,59,79,72,0,73,64,84,60,0,86,88,53,79,78,46,54,95,37,60,88,0,44,70,86,70,45,58,39,67,61,43,59,91,43,90,47,0,33,78265,3089,13152,HK
2013-04,4279889,-126199.2564,74,75,64,76,26,100,47,60,59,65,45,0,84,71,55,0,58,46,0,66,32,54,48,76,95,72,76,46,86,52,54,56,76,74,62,19,66,57,69,14,23,42,15,63,80,63,64,70,58,85,77,51,0,91,61,53,43,68,0,46,69,47,51,71,27,39,76,53,56,41,84,64,0,81,61,0,56,51,49,72,100,23,76,84,48,27,76,44,87,24,69,26,94,37,75,86,59,0,6,70,77,0,87,47,36,60,43,75,62,53,64,69,87,64,32,74,28,0,37,65,92,69,28,40,22,28,51,65,58,31,0,24,56,85,84,75,83,75,62,0,70,61,59,41,0,77,70,0,61,29,56,69,53,0,69,56,11,77,68,71,52,27,0,76,64,41,74,60,41,38,17,73,12,58,84,63,0,75,51,79,63,0,73,75,63,73,74,66,51,82,30,38,80,0,46,56,77,70,46,67,45,57,60,49,61,76,47,84,43,0,34,71618,2445,14079,HK
2013-05,4142301,-304838.2286,80,68,75,73,42,91,47,58,68,70,44,0,60,73,62,0,60,40,6,65,39,61,53,78,79,69,86,47,78,50,61,60,72,89,73,0,56,68,57,15,68,0,30,64,81,64,66,70,55,54,71,54,0,85,60,29,50,65,0,44,84,51,34,84,13,64,61,66,83,16,86,63,0,79,65,0,63,50,49,64,48,31,82,81,44,0,73,51,91,15,82,33,61,50,65,86,69,22,3,67,77,0,92,38,24,36,65,80,57,38,27,63,64,63,38,85,46,17,36,59,90,63,31,41,20,11,51,69,56,30,0,23,55,85,90,82,77,82,60,0,69,63,68,40,32,71,72,47,60,54,51,84,65,0,66,60,11,75,63,71,67,8,22,72,91,64,84,59,59,33,32,55,12,57,78,61,0,80,81,77,56,0,73,72,52,79,89,57,56,74,45,52,90,0,44,61,77,67,29,75,39,62,54,57,78,77,49,86,46,6,34,74858,3267,16571,HK
2013-06,4201331,-491824.2772,68,43,76,75,52,88,50,73,67,63,40,0,71,52,68,0,55,41,7,68,40,60,69,80,57,64,80,49,85,45,60,64,83,85,56,45,55,69,49,11,100,86,46,67,84,67,68,68,72,62,62,52,0,80,55,59,51,34,0,47,77,54,50,75,41,49,57,69,78,25,86,65,15,85,61,0,70,45,36,63,50,28,84,82,36,41,75,69,85,24,82,26,87,59,77,86,65,0,3,74,79,0,90,29,65,44,66,95,55,80,23,65,44,63,36,92,38,0,37,55,85,53,29,40,20,19,74,64,54,47,0,14,75,100,84,66,83,66,54,0,72,65,67,62,0,62,63,73,55,44,49,77,64,0,77,67,12,73,59,74,67,35,23,66,80,67,81,65,71,41,17,58,22,54,73,52,0,75,67,79,54,0,67,79,57,77,85,72,58,69,34,48,93,0,47,53,82,74,53,74,41,68,59,44,68,80,53,86,39,7,36,81439,2467,22719,HK
2013-07,4831521,259067.8458,65,84,76,87,55,94,50,99,68,52,41,0,59,62,61,0,58,39,6,69,47,59,80,90,52,62,83,50,84,50,59,66,82,74,62,38,52,61,48,14,57,0,68,64,85,64,65,70,61,65,50,44,25,80,45,23,50,38,0,47,67,70,28,64,0,63,66,66,89,16,82,70,14,78,81,0,63,63,53,61,61,23,67,75,37,0,70,55,86,16,83,51,81,14,66,76,78,0,40,57,83,0,91,21,35,67,47,92,59,26,40,60,64,61,41,86,46,0,31,35,79,65,32,35,21,11,45,61,64,0,0,23,67,91,70,60,75,60,58,0,73,54,68,47,33,50,76,48,45,33,49,67,66,0,96,62,14,80,75,77,72,31,0,62,74,39,75,73,65,41,0,68,7,57,83,67,0,62,67,83,52,0,70,70,82,69,74,59,44,67,25,43,100,56,47,60,70,57,81,80,43,75,50,24,67,87,49,82,43,6,39,100630,2099,22008,HK
2013-08,5358087,592309.1494,57,84,96,70,34,87,51,96,65,54,44,0,64,72,79,18,59,36,6,63,31,61,95,85,42,62,79,51,94,66,61,64,95,75,58,25,84,68,50,13,92,0,15,67,86,67,64,70,71,90,85,59,0,82,72,29,58,66,0,43,80,73,46,83,20,72,41,100,71,41,92,70,0,92,55,0,67,25,51,62,43,19,82,79,51,39,79,71,77,23,76,25,85,65,100,82,74,0,100,93,81,0,90,49,39,67,47,85,61,26,31,66,71,57,38,94,56,0,52,84,87,62,30,38,18,38,44,55,64,30,22,18,59,87,100,55,82,55,58,0,69,58,65,68,0,85,76,71,72,36,53,80,71,0,77,73,12,77,62,77,80,27,0,80,72,46,89,48,50,50,16,64,12,61,97,62,0,79,94,76,59,0,71,80,50,85,75,71,51,98,62,47,92,100,43,70,80,93,100,75,36,68,54,67,74,82,50,92,55,6,37,104397,1995,20781,HK
2013-09,4309304,-348625.7375,48,56,86,58,70,87,53,66,59,55,37,19,56,64,62,0,57,44,15,59,61,54,39,73,54,58,80,51,92,50,54,59,78,88,73,49,72,67,58,11,67,0,0,63,82,63,67,66,61,73,70,60,0,83,88,34,54,55,0,38,82,52,51,88,46,61,60,60,66,16,91,68,0,100,71,0,61,37,45,61,48,24,76,83,51,0,79,73,81,34,64,57,60,21,68,91,77,22,20,100,73,0,90,31,28,30,51,97,53,50,66,67,42,59,38,64,90,0,52,73,86,71,28,39,20,50,53,73,56,0,21,23,71,87,86,67,82,67,57,13,73,57,59,73,32,70,63,23,88,46,62,82,71,0,84,58,12,75,63,74,70,30,0,92,80,34,82,52,44,38,16,65,40,53,90,59,17,84,73,71,52,0,71,87,100,88,88,40,47,83,44,49,76,26,38,70,80,100,75,71,43,60,64,37,61,82,50,91,46,15,35,98678,3417,18327,HK
2013-10,4632034,135488.8577,73,88,73,86,39,86,48,60,57,46,25,58,80,74,73,17,62,45,18,55,58,51,72,73,60,60,79,50,84,59,51,61,69,93,78,18,42,75,61,12,42,39,28,62,88,62,70,67,57,84,80,53,0,88,52,64,59,57,0,35,87,45,49,85,31,63,73,61,87,15,91,66,0,83,57,0,75,35,44,61,79,18,75,90,40,36,85,84,88,32,59,31,43,67,75,87,72,21,10,51,72,0,88,36,49,74,41,48,50,24,29,64,53,52,34,83,51,47,51,30,94,77,32,48,19,8,47,67,54,0,20,20,69,85,92,49,91,49,100,0,69,67,57,44,60,80,70,22,52,40,58,87,67,0,74,66,14,69,69,86,74,21,0,83,60,40,89,48,46,36,38,66,31,53,89,59,41,84,70,70,51,0,71,73,65,85,93,68,63,80,77,63,69,14,35,68,89,51,51,70,41,56,65,53,80,71,46,91,51,18,35,91665,2674,18210,HK
2013-11,4579681,-53976.02918,64,55,100,70,65,79,49,59,67,40,45,100,66,60,91,17,67,49,51,50,67,68,61,68,63,63,74,53,83,72,68,70,65,100,89,42,69,70,60,13,60,79,78,65,88,65,75,67,48,94,95,58,24,89,71,66,76,72,0,33,100,42,53,79,51,83,98,61,87,15,100,73,0,87,67,0,62,54,42,54,58,37,76,95,52,100,80,86,100,89,57,32,48,55,72,87,66,0,7,67,72,0,90,33,71,48,41,67,45,98,26,62,95,54,33,69,70,97,51,51,96,100,100,49,20,18,52,79,54,0,41,27,68,84,86,57,99,57,71,13,65,63,67,71,92,95,86,23,71,48,58,100,60,0,81,58,13,61,100,89,74,11,0,99,88,35,97,61,59,40,0,76,100,60,85,56,100,98,94,67,52,0,68,82,53,100,100,74,54,89,67,59,69,6,33,94,82,67,80,58,46,67,68,55,100,68,46,100,58,51,34,78190,1996,14900,HK
2013-12,5222324,466441.1732,71,99,77,66,100,74,46,64,54,37,29,72,70,70,62,33,59,41,6,48,44,47,42,62,64,53,73,56,73,57,47,67,77,73,78,83,67,56,51,50,59,0,42,56,92,56,77,65,68,84,71,58,0,85,74,44,58,58,21,31,80,44,47,70,38,100,58,58,96,46,90,73,0,86,74,0,86,42,70,51,40,26,87,89,55,37,68,89,94,73,74,55,36,54,73,83,71,21,15,77,66,0,97,43,63,61,32,62,40,36,38,58,40,62,34,46,17,0,51,51,91,81,30,40,19,28,58,79,56,57,0,38,81,88,86,67,93,67,62,0,61,55,54,38,46,71,85,22,74,41,53,80,58,0,76,75,13,57,55,79,61,14,0,84,92,35,83,52,67,35,54,75,56,67,82,66,58,80,88,65,55,0,64,63,66,85,73,65,54,93,31,62,72,11,31,69,70,77,91,44,40,47,64,23,69,66,47,90,60,6,30,86228,2988,13904,HK
2014-01,5455371,456961.4053,76,69,80,72,33,74,48,59,45,35,33,54,69,55,53,47,61,49,11,66,20,48,57,79,48,74,75,56,95,64,48,60,86,81,67,22,55,57,55,21,70,0,52,52,85,52,74,71,52,85,77,56,0,81,60,61,47,25,0,33,83,44,42,79,70,79,68,51,82,14,86,78,13,80,50,0,61,55,45,62,85,34,78,80,44,23,71,69,98,7,80,44,67,31,63,81,66,0,13,58,78,0,81,28,52,43,27,48,56,34,20,64,25,66,37,87,48,22,44,44,80,87,24,37,20,9,49,74,57,0,0,28,63,83,83,66,76,66,55,0,70,58,45,35,0,77,85,42,60,19,59,83,62,0,73,63,18,69,60,83,94,10,0,82,82,32,84,54,60,33,28,57,8,53,90,56,38,85,82,80,55,0,76,78,66,79,81,59,54,83,36,55,74,15,33,63,75,58,62,49,38,57,65,59,55,70,51,86,50,11,44,93255,2948,14015,HK
2014-02,4417376,-263588.2435,64,45,100,70,49,68,49,53,48,24,42,50,66,67,65,0,57,45,6,63,30,43,48,77,46,65,75,51,86,52,43,61,67,72,91,66,79,66,56,12,66,40,43,52,87,52,71,69,47,73,80,55,0,80,77,28,49,54,0,30,78,41,36,75,45,69,75,54,50,62,87,66,0,73,63,0,68,42,39,57,70,31,79,73,53,76,70,60,86,0,85,56,59,55,72,80,69,0,7,89,77,0,84,20,27,45,32,67,50,49,13,64,55,59,36,60,27,16,44,70,73,78,31,35,19,41,36,44,66,0,0,21,55,82,84,42,71,42,48,13,67,53,48,52,31,80,72,23,77,48,60,78,57,0,91,70,18,79,62,85,70,22,0,87,71,31,83,54,66,31,31,70,7,44,70,48,34,66,59,82,52,0,66,56,84,67,72,62,50,77,51,41,72,17,30,65,72,89,62,55,43,53,63,37,71,70,51,87,70,6,43,96239,2745,14527,HK
2014-03,4825234,-321216.6591,67,50,92,86,44,70,51,40,48,36,38,54,66,67,67,0,60,45,11,63,20,42,66,73,35,74,72,48,85,55,42,55,59,72,65,44,59,70,71,13,74,0,32,56,90,56,73,66,55,78,59,49,0,87,74,65,63,49,20,33,74,47,58,67,40,64,50,56,54,21,86,60,0,84,45,0,77,38,47,60,79,20,75,80,50,45,72,71,76,7,67,43,60,31,73,87,79,39,4,88,73,0,79,33,61,46,33,54,46,100,23,65,49,61,44,78,32,0,36,66,79,64,28,38,18,32,46,55,59,39,0,19,69,87,86,51,78,51,67,0,70,66,48,29,0,59,68,31,74,44,69,74,62,0,79,50,18,74,68,92,69,23,0,94,70,34,85,52,62,39,42,49,4,52,78,52,23,74,59,80,55,0,72,64,30,74,72,66,62,63,75,51,70,0,33,57,73,88,39,46,38,49,64,70,63,59,49,86,59,11,43,98056,2678,15130,HK
2014-04,4747960,-126199.2564,59,52,88,77,50,66,51,45,53,39,44,43,79,61,73,48,58,41,6,59,42,53,54,75,42,74,71,46,80,55,53,66,67,88,61,34,48,64,57,10,62,37,20,57,95,57,71,63,60,85,93,65,0,84,59,83,58,60,0,36,91,55,39,78,66,65,80,65,49,37,92,60,0,83,59,0,68,28,52,63,39,13,76,87,45,24,69,57,78,17,68,60,35,58,70,84,69,20,6,72,74,0,82,32,45,53,29,66,46,23,44,61,45,61,52,86,17,30,36,51,81,65,34,47,19,27,50,72,55,27,39,18,48,86,95,64,83,64,67,0,66,67,53,43,58,93,70,0,59,32,55,91,57,0,69,62,19,85,71,95,85,17,0,70,75,45,93,54,54,34,51,59,13,55,84,63,24,87,65,76,59,0,71,65,55,81,88,87,51,100,30,49,75,0,36,58,75,72,58,54,41,62,58,73,79,73,51,92,59,6,45,93094,2138,14176,HK
2014-05,4590579,-304838.2286,57,71,74,66,42,56,54,61,54,37,31,47,67,59,67,16,59,40,6,60,49,53,54,77,42,70,76,54,79,61,53,67,89,80,60,51,51,63,58,23,36,0,40,55,91,55,73,66,70,92,85,42,0,86,60,52,60,47,0,35,77,52,49,100,54,97,44,52,96,36,89,62,0,83,81,0,78,34,31,60,22,26,81,82,38,47,69,71,75,7,71,30,62,64,65,83,67,0,11,70,74,0,75,16,57,66,31,69,43,46,20,65,89,62,46,66,66,45,43,52,79,68,33,40,19,19,47,58,51,27,0,13,61,84,91,62,87,62,54,0,67,65,54,48,29,85,78,21,60,45,55,77,60,0,77,81,20,100,64,94,94,10,0,75,67,31,91,52,49,34,29,58,4,51,79,58,24,89,75,73,56,0,68,56,76,80,80,56,54,73,26,53,76,5,35,56,77,70,43,53,43,69,60,69,62,67,53,89,50,6,45,97224,2744,16638,HK
2014-06,4492695,-491824.2772,70,58,69,55,34,56,51,59,52,45,49,43,65,62,81,18,59,39,6,63,47,53,67,81,49,63,75,48,74,51,53,65,61,81,54,38,36,63,48,10,51,0,22,57,91,57,74,62,49,47,60,46,0,77,42,58,56,52,0,33,78,61,31,64,20,61,57,39,52,49,84,56,0,78,55,0,83,38,51,52,61,18,81,78,33,0,68,59,83,31,70,76,58,36,83,81,73,0,10,41,73,0,72,21,49,69,35,55,47,26,18,58,21,59,43,55,92,17,47,34,77,64,27,38,22,8,45,50,50,0,0,15,43,86,91,62,77,62,69,14,67,55,52,74,32,60,74,48,42,32,70,78,57,0,80,74,22,77,63,96,74,19,0,62,66,35,87,47,67,37,33,55,19,45,72,72,35,83,64,78,59,0,68,63,67,89,81,67,50,86,54,57,79,0,33,60,78,41,42,47,49,61,57,67,83,83,54,84,84,6,48,99346,3086,19660,HK
2014-07,5373518,259067.8458,81,88,97,84,50,54,52,58,50,41,38,52,56,71,60,35,58,40,0,64,69,45,64,87,58,66,75,47,84,62,45,54,100,79,53,68,51,64,45,10,28,0,59,56,93,56,78,62,72,71,74,49,97,79,49,74,63,28,0,42,75,69,38,84,33,48,61,68,77,0,87,61,0,81,41,0,84,19,39,53,24,22,92,78,37,26,69,70,70,15,76,66,79,85,68,83,86,0,3,54,77,0,81,31,28,56,46,51,48,38,40,60,49,58,41,83,63,58,35,46,72,54,36,37,18,13,44,45,57,0,21,15,47,89,82,76,78,76,62,13,73,52,50,46,0,74,72,23,49,67,65,75,58,0,84,74,24,89,73,100,91,34,0,64,79,47,84,54,45,38,16,58,7,42,87,63,26,87,79,77,68,0,66,69,43,80,79,60,57,84,45,61,92,0,42,60,72,54,38,67,40,72,63,56,61,78,57,87,78,0,53,123555,3028,22108,HK
2014-08,6009577,592309.1494,68,51,96,71,45,53,54,78,51,45,38,28,74,69,58,0,64,38,6,57,61,48,81,84,38,64,76,49,79,65,48,62,76,81,53,49,35,70,53,11,67,40,29,55,95,55,81,63,59,71,66,37,84,81,43,56,60,37,0,36,84,65,47,59,26,55,40,76,48,16,85,64,0,78,68,0,69,31,58,52,53,30,100,69,28,51,70,73,72,45,68,16,64,21,82,82,74,0,2,49,72,0,91,21,45,61,27,64,43,50,22,59,62,57,41,82,27,25,38,35,100,59,33,38,20,21,43,56,59,44,0,15,61,87,81,53,76,53,40,27,69,63,51,26,32,66,64,0,43,46,56,84,56,0,79,71,23,87,60,96,63,15,0,65,94,38,87,44,46,40,16,55,28,43,82,38,0,74,43,73,55,0,65,100,54,83,81,55,60,72,56,72,99,0,36,63,73,49,31,47,46,53,60,61,69,82,64,85,87,6,51,121089,3233,20166,HK
2014-09,4746782,-348625.7375,83,98,81,71,43,59,51,58,50,33,34,71,64,64,63,16,58,49,9,53,29,48,71,75,40,67,72,50,82,70,48,75,56,80,50,41,59,59,59,9,59,0,49,61,93,61,83,65,51,81,78,42,23,85,56,38,76,22,0,33,75,50,52,67,37,51,61,59,78,30,90,62,0,86,45,0,57,29,38,53,28,15,81,81,37,49,71,59,72,36,56,39,43,27,75,94,68,21,2,58,67,0,85,36,33,74,34,41,40,96,13,60,46,56,38,74,69,16,40,59,82,78,27,41,17,20,41,53,50,42,20,19,61,87,89,62,71,62,54,0,69,53,50,38,0,78,78,44,56,50,61,75,66,0,82,66,23,83,69,90,90,14,0,80,87,53,93,61,36,41,30,54,27,53,82,46,49,73,51,71,51,0,79,73,65,71,80,66,54,71,54,73,76,0,33,66,77,58,63,35,42,57,65,40,69,65,56,90,77,9,51,112824,2849,19604,HK
2014-10,5213702,135488.8577,86,56,67,70,15,56,48,83,47,34,36,51,72,65,69,0,57,55,23,50,28,36,63,70,28,69,75,50,71,59,36,55,73,84,62,17,40,70,55,10,46,0,40,53,93,53,86,60,61,91,82,43,0,84,47,57,54,30,0,29,85,45,61,61,30,63,53,48,37,22,85,63,0,80,63,0,47,17,41,52,22,17,78,69,28,23,67,74,59,42,57,30,41,64,70,100,79,30,2,44,65,0,77,28,50,71,26,56,36,46,8,66,76,52,36,71,16,53,38,27,77,70,33,42,17,12,40,52,46,0,19,21,57,85,76,51,69,51,57,18,66,55,47,42,0,82,72,21,47,39,55,85,52,0,90,64,23,73,68,88,58,10,20,71,65,28,84,46,40,34,36,55,36,49,84,47,23,80,76,65,60,0,67,64,50,79,84,57,56,74,44,59,66,0,29,59,68,44,46,39,41,53,67,39,78,64,57,85,73,23,48,101320,2063,19918,HK
2014-11,5299680,-53976.02918,74,67,85,62,77,52,49,82,53,42,37,35,71,61,85,33,66,39,83,48,85,55,79,66,41,72,68,51,66,96,55,62,72,86,86,58,64,76,52,100,63,0,48,56,95,56,83,60,62,84,93,26,22,83,55,37,77,30,41,36,81,44,69,63,18,69,89,51,64,37,87,66,0,78,62,14,81,40,26,49,61,22,86,72,44,24,65,58,64,60,57,46,53,39,94,83,83,41,2,43,64,0,80,13,61,98,26,54,32,59,45,57,32,51,37,67,93,39,43,39,87,79,90,40,20,25,53,48,45,28,0,44,53,83,78,67,76,67,58,100,61,59,53,37,30,93,84,22,55,36,52,81,59,0,84,65,22,62,85,80,84,14,0,81,77,39,85,49,50,38,52,52,54,44,96,71,48,91,95,63,54,0,76,63,80,86,86,71,44,90,23,89,68,0,36,62,68,43,38,41,49,49,59,39,87,72,53,87,60,83,46,93557,2507,20224,HK
2014-12,5666362,466441.1732,71,28,67,50,42,51,49,50,45,34,36,39,53,61,79,48,55,35,6,47,28,38,59,61,38,66,69,54,65,73,38,55,62,76,100,46,80,60,48,50,15,0,61,47,100,47,82,64,58,62,71,31,0,79,70,47,59,55,0,31,81,46,62,57,91,65,35,51,59,37,81,68,0,79,75,0,77,51,43,45,55,25,97,75,57,47,59,60,57,84,62,91,49,39,63,79,70,50,3,50,61,0,84,32,99,73,21,56,35,93,8,49,64,55,50,49,67,23,45,57,83,73,30,36,100,29,62,47,49,68,0,49,56,83,70,37,77,37,77,0,59,52,45,30,29,71,63,21,70,52,50,81,46,0,81,82,23,58,60,76,78,14,0,92,79,34,78,44,47,35,29,32,93,50,80,56,32,76,68,61,48,0,62,55,53,76,76,67,53,71,30,89,65,11,31,61,62,50,41,41,100,44,54,43,79,72,53,81,46,6,43,102748,2943,20144,HK
2015-01,5609698,456961.4053,79,44,53,53,35,47,55,67,38,34,29,24,71,47,65,29,65,40,11,60,39,29,39,74,30,75,69,52,88,51,29,47,65,62,55,47,43,68,51,16,19,34,50,43,86,43,74,68,62,66,53,38,0,80,56,48,63,47,0,34,70,43,50,64,39,50,53,47,76,14,78,70,0,76,38,13,56,31,34,52,20,34,85,64,45,0,61,49,56,6,73,28,45,24,56,77,71,19,3,35,70,0,71,23,62,54,18,67,41,32,34,55,24,69,81,69,62,14,19,45,78,66,26,35,87,16,45,35,48,25,18,18,43,80,76,44,62,44,60,11,70,43,38,28,27,53,58,0,56,39,57,70,47,0,85,55,30,66,65,76,47,38,0,76,72,22,81,57,44,49,13,44,12,36,63,43,29,63,56,77,49,0,81,67,54,65,62,50,45,67,41,63,69,5,34,54,68,35,51,50,90,44,51,36,68,62,58,78,84,11,60,110072,2815,20368,HK
2015-02,5405689,-263588.2435,63,38,56,42,35,34,49,51,33,30,19,48,80,53,37,48,51,34,9,59,43,31,31,72,30,68,65,49,75,46,31,51,67,58,43,58,38,62,51,10,31,0,14,42,83,42,73,56,52,44,32,37,0,79,46,32,65,39,21,35,51,41,34,61,67,52,64,33,55,37,71,68,0,67,76,0,73,52,35,53,45,22,84,53,31,48,56,54,55,7,73,15,84,46,47,71,58,0,1,35,70,0,70,22,32,32,26,71,39,24,25,50,19,71,100,69,34,15,26,41,63,56,25,29,24,17,32,43,49,0,0,27,40,75,61,38,58,38,25,0,59,45,33,25,30,32,64,0,46,46,58,51,50,0,69,52,32,71,57,77,69,14,0,61,70,25,64,49,50,35,44,47,0,37,62,28,40,52,60,74,51,0,66,57,53,59,58,40,44,59,49,62,71,0,35,47,58,35,35,44,42,52,46,26,37,62,61,71,62,9,55,91622,2835,17813,HK
2015-03,4405298,-321216.6591,67,56,99,58,28,27,55,33,42,34,24,43,67,58,65,0,72,40,10,59,71,35,60,72,41,79,68,49,79,64,35,56,75,81,58,47,49,89,51,9,43,0,86,51,97,51,71,63,50,69,62,41,20,81,56,48,70,47,19,36,73,49,68,70,28,58,46,42,71,13,83,67,0,78,49,13,59,94,30,58,35,23,81,65,41,22,64,59,60,6,65,48,29,18,56,81,78,18,1,36,69,0,76,9,58,69,29,55,48,53,11,55,35,63,69,100,69,14,33,43,79,54,32,37,20,16,41,56,47,100,0,20,35,83,83,60,69,60,50,0,62,52,42,28,0,62,75,0,56,57,56,73,44,0,100,62,40,79,64,82,76,16,0,75,79,23,85,55,71,43,20,57,6,48,75,48,14,78,62,77,58,0,69,52,51,72,81,56,50,75,31,72,74,5,36,57,71,36,61,51,48,67,54,51,59,63,65,83,100,10,57,128500,2418,24476,HK
